Tamano del Vector;B1:Mejor Tiempo (us); B1:Peor Tiempo(us); B1:Tiempo Medio(us);;B2:Mejor Tiempo (us); B2:Peor Tiempo(us); B2:Tiempo Medio(us);;BInter:Mejor Tiempo (us); BInter:Peor Tiempo(us); BInter:Tiempo Medio(us);;;;;;;;;;;;;
1000;5.9;39.3;12.84;;6;9.9;8.98;;1.1;1.2;1.12;;;;;;;;;;;;;
2000;11;70;46.72;;12.9;70.2;51.35;;4;6.9;5.11;;;;;;;;;;;;;
3000;13.7;108.3;66.48;;18.2;93;71.04;;4.9;9.9;5.89;;;;;;;;;;;;;
4000;61.2;134.8;109.16;;64.9;131.2;106.55;;7.2;13;9;;;;;;;;;;;;;
5000;94.3;176;130.69;;103;198;149.2;;7.1;16.5;10.8;;;;;;;;;;;;;
6000;82.2;175.5;145.12;;106.1;175.9;147.03;;9.2;17.9;12.3;;;;;;;;;;;;;
7000;103.8;179.1;134.16;;99.5;174.7;133.34;;9.5;18.4;12.03;;;;;;;;;;;;;
8000;50.3;185.8;134.86;;57.5;195.9;141.98;;10.4;18.5;12.7;;;;;;;;;;;;;
9000;133.5;193.4;167.92;;132.9;205.2;172.28;;11.9;15.7;13.89;;;;;;;;;;;;;
10000;122.2;211.2;182.21;;160.3;219.4;193.85;;3.8;25.2;13.96;;;;;;;;;;;;;
11000;108.3;217.8;181.38;;108.6;204.3;181.94;;3;17.7;5.52;;;;;;;;;;;;;
12000;169.8;240.8;208;;190.6;206.2;197.99;;3.7;16.7;5.38;;;;;;;;;;;;;
13000;165.9;287.8;230.18;;190.9;243.2;221.46;;3.7;11.9;6.4;;;;;;;;;;;;;
14000;192.3;373.7;269.58;;203.2;377.3;266.25;;4.4;13.6;7.18;;;;;;;;;;;;;
15000;182.8;400.9;294.45;;219.3;375.7;292.02;;4.1;12.1;5.78;;;;;;;;;;;;;
16000;219.7;346;292.03;;205.3;319;254.76;;4.7;14;8.18;;;;;;;;;;;;;
17000;228.1;349.7;309.3;;215.2;343.8;311.5;;4.4;24.2;7.02;;;;;;;;;;;;;
18000;265.4;376;324.91;;270.8;356.8;329.64;;3.2;12.1;4.84;;;;;;;;;;;;;
19000;299.3;377.5;342.56;;295.7;382.1;345.07;;3.4;28.2;6.03;;;;;;;;;;;;;
20000;308.8;406.6;362.26;;312.9;407.8;360.24;;3.5;29.6;6.23;;;;;;;;;;;;;
21000;301.8;399.9;360.06;;287.1;400.5;356.14;;3.5;14.2;5.44;;;;;;;;;;;;;
22000;157.9;397.2;341.16;;180.4;386.2;313.78;;3.5;13.3;6.57;;;;;;;;;;;;;
23000;278.2;478.6;353.93;;201.6;411.9;326.39;;3.8;6;4.36;;;;;;;;;;;;;
24000;272.3;458.6;389.84;;246.9;414.4;381.48;;4.1;20.8;5.93;;;;;;;;;;;;;
25000;334.6;508.3;423.85;;382.7;676.7;447.56;;4.4;18.8;9.92;;;;;;;;;;;;;
26000;256.7;563.4;430.68;;321.5;557.2;410.15;;4.4;26;9.28;;;;;;;;;;;;;
27000;256.3;477.9;358.26;;287.9;429.4;361.57;;4.4;26.3;6.79;;;;;;;;;;;;;
28000;201.2;527.8;357.08;;255.4;511.3;372.25;;4.6;25.4;8.86;;;;;;;;;;;;;
29000;316.1;505.6;399.04;;349.1;435.3;392.69;;4.6;28.5;9.08;;;;;;;;;;;;;
30000;325;516.5;410.63;;375.4;497.9;430.27;;8;12.4;8.86;;;;;;;;;;;;;
31000;234.6;524.3;402.05;;320.3;501.1;411.37;;4.9;25.7;8.58;;;;;;;;;;;;;
32000;306.3;574.3;467.3;;305.4;576.6;460.63;;4.9;17.7;6.86;;;;;;;;;;;;;
33000;253.6;577.3;416.63;;247.1;428;384.72;;4.9;11.8;5.97;;;;;;;;;;;;;
34000;372.2;538.9;462.58;;247.9;524.7;451.2;;5.2;33.3;8.28;;;;;;;;;;;;;
35000;216.6;647.6;464.52;;242.5;613.7;472.25;;5.1;9.2;6.35;;;;;;;;;;;;;
36000;383.6;565.5;490.64;;322.6;546.6;468.16;;5.4;7.4;6.17;;;;;;;;;;;;;
37000;310.3;559.4;455.99;;345.1;522.3;450.17;;5.4;5.9;5.63;;;;;;;;;;;;;
38000;427.3;567.9;502.93;;405.8;561.2;502.72;;5.6;6;5.83;;;;;;;;;;;;;
39000;392.9;697.4;523.02;;377.2;668.9;536.4;;5.9;22;8.25;;;;;;;;;;;;;
40000;448.6;605.9;503.82;;392.8;555.1;495.99;;6;39.1;9.8;;;;;;;;;;;;;
41000;338.8;594.1;484.82;;356.9;558.7;484.62;;6.1;6.3;6.21;;;;;;;;;;;;;
42000;213.6;596.1;453.1;;197.2;598.6;493.42;;5.9;40.4;13.11;;;;;;;;;;;;;
43000;178.9;611.8;480.26;;166.7;603.6;478.3;;6;8.1;6.7;;;;;;;;;;;;;
44000;367.2;572.7;494.31;;417.2;585.7;513.44;;6.9;11.9;9.5;;;;;;;;;;;;;
45000;311.6;613.1;495.38;;319.3;590;489.71;;6.2;6.8;6.6;;;;;;;;;;;;;
46000;517.9;790.9;604.16;;520.9;669.9;580.54;;8.8;48.8;13.83;;;;;;;;;;;;;
47000;469.7;638.7;571.39;;433.2;617.6;557.14;;6.5;12.5;7.43;;;;;;;;;;;;;
48000;487.9;664.9;576.76;;552.1;628.2;584.16;;6.7;44.8;10.7;;;;;;;;;;;;;
49000;527.3;729.9;604.91;;493.4;701.2;615.72;;6.9;13.4;8.9;;;;;;;;;;;;;
50000;511;710.9;605.17;;557.4;660.5;602.41;;6.7;13.1;8.29;;;;;;;;;;;;;
51000;294.1;722.9;593.35;;352.8;668.3;583.45;;7.2;13.3;9.4;;;;;;;;;;;;;
52000;483.3;706.9;602.65;;479.9;648.9;598.66;;7.3;15.3;10.7;;;;;;;;;;;;;
53000;209.8;756.2;581.46;;210.5;757.2;573.9;;7.3;52.1;12.79;;;;;;;;;;;;;
54000;452.8;782.6;634.8;;450.2;697.4;604.31;;7.2;16.5;10.77;;;;;;;;;;;;;
55000;577.6;1119.9;749.19;;608.7;1064.7;756.93;;7.6;19.1;12.91;;;;;;;;;;;;;
56000;585.6;768.4;658.18;;529;724.1;652.26;;7.4;20.2;10.41;;;;;;;;;;;;;
57000;606.2;874.4;737.32;;598.8;903;737.76;;7.4;58.4;18.04;;;;;;;;;;;;;
58000;378.2;786.1;610.32;;353.1;711.6;597.02;;7.6;36.4;14.14;;;;;;;;;;;;;
59000;388.4;865.9;661.57;;371.3;815.9;659.4;;8;19.1;12.1;;;;;;;;;;;;;
60000;572.5;747.5;695.06;;530.4;826.5;694.49;;8.1;15.4;12.35;;;;;;;;;;;;;
61000;526.7;971.7;775.31;;578.9;854.5;742.93;;8.2;61.2;19.02;;;;;;;;;;;;;
62000;506.3;887.4;726.86;;513.9;818.6;704.17;;8.2;19.4;10.59;;;;;;;;;;;;;
63000;347.9;769.5;680.3;;242.4;785.6;654.3;;8.4;21.2;11.86;;;;;;;;;;;;;
64000;641.8;1136.2;785.12;;635.1;962.7;773.02;;9;28.1;16.93;;;;;;;;;;;;;
65000;577.1;1206.3;897.73;;564.7;1174.8;877.01;;8.5;22.5;16.42;;;;;;;;;;;;;
66000;605.2;852.5;781.94;;649.4;865.3;781.99;;8.4;66.2;19.68;;;;;;;;;;;;;
67000;771.2;958.7;849.54;;725.9;958.3;832.12;;8.9;21.4;15.69;;;;;;;;;;;;;
68000;624.4;855.1;761.4;;630;860.6;760.2;;8.7;25.5;13.87;;;;;;;;;;;;;
69000;631.8;899.2;817.11;;661.1;1064.4;852.01;;9.5;68.7;24.56;;;;;;;;;;;;;
70000;241.4;896;713.16;;247.3;1119.7;735.58;;9.6;62.9;20.08;;;;;;;;;;;;;
71000;545.2;1010.3;854.27;;507.5;999.6;824.8;;9.4;80.8;23.42;;;;;;;;;;;;;
72000;559.8;1031.8;867.21;;644.2;968.6;855.78;;9.4;116.5;27.53;;;;;;;;;;;;;
73000;820.4;1081;913.55;;767;1015.4;897.21;;9.7;61.2;21.37;;;;;;;;;;;;;
74000;721.6;1025.2;872.46;;680;969.6;858.39;;9.5;63.8;16.2;;;;;;;;;;;;;
75000;783;1080.6;916.02;;784.4;1014.2;920.7;;9.8;85.7;24.14;;;;;;;;;;;;;
76000;766.5;1185.5;956.73;;683.8;1350.6;976.2;;10.1;89.3;31.76;;;;;;;;;;;;;
77000;689.7;1119.4;876.36;;662.1;941.8;837.25;;10;29.4;16.85;;;;;;;;;;;;;
78000;935.8;1252.6;1082.65;;938.3;1237.5;1094.36;;11;186.6;101.35;;;;;;;;;;;;;
79000;616.5;1289.6;1041.5;;561.9;1144.5;1047.43;;10.1;196.3;65.79;;;;;;;;;;;;;
80000;800.3;1191.4;1011.3;;851.9;1165.8;1025.89;;11.5;212.4;111.09;;;;;;;;;;;;;
81000;804.6;2316;1337.75;;888.7;1946;1314.24;;11.3;360.3;129.54;;;;;;;;;;;;;
82000;669.7;1299.7;947.87;;664.6;1213.9;920.68;;10.4;100.8;36.51;;;;;;;;;;;;;
83000;988.1;1275.3;1122.05;;949;1323.2;1148.68;;10.3;217.6;135.9;;;;;;;;;;;;;
84000;956.9;1299.3;1150.76;;954.1;1220.1;1117.69;;11.5;173.8;124.44;;;;;;;;;;;;;
85000;605.6;1120;972.27;;644;1114.4;975.44;;20.7;75.1;28.74;;;;;;;;;;;;;
86000;807.4;1955.8;1150.6;;754.5;2010.2;1216.66;;11;272.4;96.37;;;;;;;;;;;;;
87000;753.4;1177;992.67;;760.4;1188.3;1037.59;;11.1;174.6;78.94;;;;;;;;;;;;;
88000;728.8;1234.4;1012.4;;722.2;1242.2;1066.46;;11.4;150.1;60.06;;;;;;;;;;;;;
89000;731.3;1121.6;998.66;;733.2;1151;979.02;;11.8;87.3;32.03;;;;;;;;;;;;;
90000;888.1;1575.1;1111.57;;903.4;1468.5;1110.02;;11.7;65.1;27.68;;;;;;;;;;;;;
91000;848.5;1507.4;1107.84;;893.6;1651.9;1150.47;;11.3;85.6;27.08;;;;;;;;;;;;;
92000;766.4;1197.3;994.32;;730.9;1321.9;1014.07;;12;84.4;27.28;;;;;;;;;;;;;
93000;541.9;1284.8;1038.05;;477.6;1223.9;1040.66;;12.7;89.1;30.21;;;;;;;;;;;;;
94000;698.6;1458.7;968.13;;622;1238.5;951.08;;12.3;100.2;37.56;;;;;;;;;;;;;
95000;965.3;1220.6;1101.31;;965.4;1218.9;1096.54;;12.9;94.6;36.51;;;;;;;;;;;;;
96000;1031.7;2085.4;1330.23;;1035.3;1764.3;1232.21;;12.6;108.3;32.79;;;;;;;;;;;;;
97000;822.5;1291.1;1094.42;;858.8;1405.7;1086.65;;13.3;92.6;39.84;;;;;;;;;;;;;
98000;768.9;1432.9;1138.18;;838.1;1588;1131.34;;11.9;37.3;21.69;;;;;;;;;;;;;
99000;1080.8;1351.1;1155.66;;1102.5;1282.4;1175.13;;12.5;86.9;37.37;;;;;;;;;;;;;
100000;1025.3;1874.2;1224.97;;1006.5;1421.1;1179.34;;13;91.3;48.78;;;;;;;;;;;;;
